analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
primary_frontloaded,ST05,11,audit_signal,Audit-stage prompt signal,risk_difference,0.7272727272727273,0.0,0.7272727272727273
primary_frontloaded,ST05,11,remediation_signal,Remediation-stage prompt signal,risk_difference,0.36363636363636365,0.18181818181818182,0.18181818181818182
primary_frontloaded,ST05,11,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.45454545454545453,0.0,0.45454545454545453
primary_frontloaded,ST05,11,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.7272727272727273,0.18181818181818182,0.5454545454545454
primary_frontloaded,ST05,11,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.9090909090909091,0.0,0.9090909090909091
primary_frontloaded,ST05,11,duration_min,Median observed trajectory minutes,median_ratio,11.721666666666666,3.8267,3.0631266278168305
primary_frontloaded,ST05,11,completed_substantive_actions,Median completed substantive actions,median_ratio,10.0,7.0,1.4285714285714286
primary_frontloaded,ST05,11,min_per_action,Median minutes per completed substantive action,median_ratio,0.9134651515151514,0.3904349206349206,2.3396092491667635
primary_frontloaded,ST06,9,verification_successful,Completed-successful verification call,risk_difference,0.1111111111111111,0.3333333333333333,-0.2222222222222222
primary_frontloaded,ST06,9,audit_signal,Audit-stage prompt signal,risk_difference,0.1111111111111111,0.3333333333333333,-0.2222222222222222
primary_frontloaded,ST06,9,remediation_signal,Remediation-stage prompt signal,risk_difference,0.0,0.1111111111111111,-0.1111111111111111
primary_frontloaded,ST06,9,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST06,9,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.1111111111111111,0.1111111111111111,0.0
primary_frontloaded,ST06,9,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.1111111111111111,0.3333333333333333,-0.2222222222222222
primary_frontloaded,ST06,9,duration_min,Median observed trajectory minutes,median_ratio,4.67975,5.626366666666667,0.8317534702679645
primary_frontloaded,ST06,9,completed_substantive_actions,Median completed substantive actions,median_ratio,7.0,4.0,1.75
primary_frontloaded,ST06,9,min_per_action,Median minutes per completed substantive action,median_ratio,0.9006666666666666,0.9013833333333333,0.9992049257622543
primary_frontloaded,ST07,6,verification_successful,Completed-successful verification call,risk_difference,0.8333333333333334,0.0,0.8333333333333334
primary_frontloaded,ST07,6,audit_signal,Audit-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST07,6,remediation_signal,Remediation-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST07,6,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST07,6,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.16666666666666666,0.0,0.16666666666666666
primary_frontloaded,ST07,6,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.8333333333333334,0.0,0.8333333333333334
primary_frontloaded,ST07,6,duration_min,Median observed trajectory minutes,median_ratio,15.254608333333334,2.916575,5.230315809925455
primary_frontloaded,ST07,6,completed_substantive_actions,Median completed substantive actions,median_ratio,7.0,2.0,3.5
primary_frontloaded,ST07,6,min_per_action,Median minutes per completed substantive action,median_ratio,1.921804398148148,1.4582875,1.3178501483062484
primary_frontloaded,ST08,41,verification_successful,Completed-successful verification call,risk_difference,0.5853658536585366,0.4146341463414634,0.17073170731707316
primary_frontloaded,ST08,41,audit_signal,Audit-stage prompt signal,risk_difference,0.4634146341463415,0.0975609756097561,0.36585365853658536
primary_frontloaded,ST08,41,remediation_signal,Remediation-stage prompt signal,risk_difference,0.4146341463414634,0.0975609756097561,0.31707317073170727
primary_frontloaded,ST08,41,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.1951219512195122,0.024390243902439025,0.17073170731707318
primary_frontloaded,ST08,41,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.7317073170731707,0.07317073170731707,0.6585365853658537
primary_frontloaded,ST08,41,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.6585365853658537,0.04878048780487805,0.6097560975609756
primary_frontloaded,ST08,41,duration_min,Median observed trajectory minutes,median_ratio,7.706016666666667,4.658183333333333,1.6542965605332554
primary_frontloaded,ST08,41,completed_substantive_actions,Median completed substantive actions,median_ratio,12.0,6.0,2.0
primary_frontloaded,ST08,41,min_per_action,Median minutes per completed substantive action,median_ratio,0.7359935897435897,0.6113,1.203981007269082
primary_frontloaded,ST09,4,verification_successful,Completed-successful verification call,risk_difference,0.0,0.0,0.0
primary_frontloaded,ST09,4,audit_signal,Audit-stage prompt signal,risk_difference,0.5,0.0,0.5
primary_frontloaded,ST09,4,remediation_signal,Remediation-stage prompt signal,risk_difference,0.75,0.25,0.5
primary_frontloaded,ST09,4,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.25,0.0,0.25
primary_frontloaded,ST09,4,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.5,0.0,0.5
